OBJECTID,Shape_Leng,AREA,COUNTY3_ID,Shape_Area,system:index,PERIMETER,COUNTY3_,COUNTY
141,1.97902568463,0.001,141,0.0184437204041,0000000000000000002e,0.177,142,Mombasa
21,1.36457628166,0.045,21,0.0454278209232,00000000000000000014,1.365,22,Vihiga
41,1.61581253576,0.057,41,0.0572780179802,00000000000000000028,1.616,42,Nairobi
33,1.50487195499,0.072,33,0.0718815759005,00000000000000000020,1.505,34,Nyamira
35,1.67694006104,0.106,35,0.106043099234,00000000000000000022,1.677,36,Kisii
29,1.87454737159,0.12,29,0.12000980204,0000000000000000001c,1.875,30,Kirinyaga
16,2.68271150654,0.148,16,0.147513635758,0000000000000000000f,2.683,17,Busia
24,2.97981053749,0.171,24,0.170723747999,00000000000000000017,2.98,25,Kericho
10,2.38726517511,0.202,10,0.201982889373,00000000000000000009,2.387,11,Trans Nzoia
36,2.53666178982,0.206,36,0.20646153466,00000000000000000023,2.537,37,Murang'a
38,3.0857207555,0.209,38,0.209126217023,00000000000000000025,3.086,39,Kiambu
23,3.09071650887,0.217,23,0.216960053872,00000000000000000016,3.091,24,Tharaka
25,3.11522293593,0.217,25,0.217291432661,00000000000000000018,3.115,26,Kisumu
32,2.63165708177,0.229,32,0.229037012363,0000000000000000001f,2.632,33,Bomet
30,3.33914763874,0.23,30,0.229667566971,0000000000000000001d,3.339,31,Embu
18,2.98688390509,0.233,18,0.23317230662,00000000000000000011,2.987,19,Nandi
14,4.08930960169,0.243,14,0.242844312855,0000000000000000000d,4.089,15,Kakamega
9,4.06352699188,0.245,9,0.245207562504,00000000000000000008,4.064,10,Keiyo-Marakwet
11,3.0759439997,0.246,11,0.245741265658,0000000000000000000a,3.076,12,Bungoma
37,3.01158957396,0.257,37,0.257125785548,00000000000000000024,3.012,38,Migori
22,3.58782123441,0.266,22,0.265941756822,00000000000000000015,3.588,23,Nyandarua
26,3.05034889397,0.271,26,0.270857147091,00000000000000000019,3.05,27,Nyeri
13,3.71792249465,0.272,13,0.27189420031,0000000000000000000c,3.718,14,Uasin Gishu
19,2.92450556058,0.285,19,0.285189281003,00000000000000000012,2.925,20,Siaya
31,3.41030275092,0.386,31,0.386328876103,0000000000000000001e,3.41,32,Homa Bay
43,11.2683090162,0.484,43,0.501664666482,0000000000000000002a,7.49,44,Lamu
39,5.79203968486,0.506,39,0.505506720813,00000000000000000026,5.792,40,Machakos
17,4.28499228716,0.561,17,0.560550057286,00000000000000000010,4.285,18,Meru
20,6.47490410854,0.605,20,0.604912925597,00000000000000000013,6.475,21,Nakuru
42,5.7537652544,0.649,42,0.649311283833,00000000000000000029,5.754,43,Makueni
135,5.64662009322,0.67,135,0.671356420748,0000000000000000002d,4.994,136,Kwale
5,5.03027088343,0.74,5,0.740480579545,00000000000000000004,5.03,6,West Pokot
15,5.35873822222,0.787,15,0.786752643312,0000000000000000000e,5.359,16,Laikipia
8,5.96426557677,0.877,8,0.877177301723,00000000000000000007,5.964,9,Baringo
110,6.85812271517,1.016,110,1.01702112677,0000000000000000002b,6.22,111,Kilifi
111,5.57263939189,1.396,111,1.39585381446,0000000000000000002c,5.573,112,Taita Taveta
34,6.86177032651,1.454,34,1.45409050642,00000000000000000021,6.862,35,Narok
6,8.31101343379,1.713,6,1.71301446473,00000000000000000005,8.311,7,Samburu
40,7.28036618863,1.774,40,1.77400052129,00000000000000000027,7.28,41,Kajiado
7,10.181410715,2.06,7,2.05982040515,00000000000000000006,10.181,8,Isiolo
3,7.35515432979,2.117,3,2.11719606749,00000000000000000002,7.355,4,Mandera
28,9.02866841404,2.483,28,2.48347730827,0000000000000000001b,9.029,29,Kitui
27,11.6030806671,3.074,27,3.07410718428,0000000000000000001a,11.603,28,Tana River
12,11.2811263395,3.642,12,3.64182272198,0000000000000000000b,11.281,13,Garissa
4,9.83840789987,4.61,4,4.60958923426,00000000000000000003,9.838,5,Wajir
1,15.0468376942,5.677,1,5.67698507035,00000000000000000000,15.047,2,Turkana
2,11.9741649875,6.177,2,6.1768307404,00000000000000000001,11.974,3,Marsabit
